step,operation,rule,rows_before,rows_after
load,Load chunk 1,Read the original CSV without modifying it,100000,100000
inspect,Inspect numerical values,Convert values to numeric for inspection; invalid values become NaN,100000,100000
filter,Apply two-condition filter,tq is not missing AND dutiablevaluephp > 0,100000,100000
clean,Prepare selected records,Convert measure to numeric; fill missing country with Missing,100000,100000
derive,Create numerical column,dutiablevalue_million_php = dutiablevaluephp / 1000000,100000,100000
derive,Create value band,High when million-PHP value >= 100; otherwise Standard,100000,100000
load,Load chunk 2,Read the original CSV without modifying it,100000,100000
inspect,Inspect numerical values,Convert values to numeric for inspection; invalid values become NaN,100000,100000
filter,Apply two-condition filter,tq is not missing AND dutiablevaluephp > 0,100000,100000
clean,Prepare selected records,Convert measure to numeric; fill missing country with Missing,100000,100000
derive,Create numerical column,dutiablevalue_million_php = dutiablevaluephp / 1000000,100000,100000
derive,Create value band,High when million-PHP value >= 100; otherwise Standard,100000,100000
load,Load chunk 3,Read the original CSV without modifying it,100000,100000
inspect,Inspect numerical values,Convert values to numeric for inspection; invalid values become NaN,100000,100000
